1	114784
1	785195
1	328095
1	241583
1	1203125
1	1276310
1	1214708
1	554034
1	615693
1	322539
1	690709
1	819323
1	890133
1	748159
1	595473
1	259359
1	784720
1	744750
1	1540880
1	738469
1	1022502
1	883527
1	671908
1	1363194
1	773827
1	323064
1	1088126
1	1122784
2	145205
2	886258
2	943245
2	802648
2	782932
2	225827
2	239522
2	1212930
2	796459
2	1199170
2	1219507
2	1581740
2	650915
2	607859
3	303054
3	335895
3	114789
3	208942
4	1555801
4	977896
4	924620
5	1518432
5	684151
6	241851
6	784523
7	43870
7	1327357
8	1098483
8	340106
8	528196
9	1100584
9	696575
10	507896
10	397637
11	632412
11	409263
12	668657
12	166158
13	182826
13	177641
14	1374009
14	1670795
15	1671030
15	1004242
16	1136563
16	1141038
16	223340
16	436797
16	1632264
16	1169831
17	1137176
17	1054512
18	1285403
18	1227720
19	920406
19	675644
20	334495
20	1650491
21	783900
21	619977
22	1296127
22	466525
23	226129
23	904683
23	320518
24	116120
24	1361658
25	391074
25	346196
26	48440
26	322941
26	828155
26	1282431
26	16624
26	377912
26	918646
26	1323070
26	1670820
26	674360
26	346461
26	1689860
26	387121
26	1439186
26	188253
26	268807
26	1138282
26	651562
26	735786
26	1214435
26	891436
26	1441210
26	509668
26	833403
26	20241
26	65347
26	659451
26	339800
26	890796
26	1559807
26	553602
27	518008
27	976385
28	795773
28	488782
29	112952
29	1688110
29	597110
30	905046
30	614049
31	1177672
31	664939
32	920779
32	675704
32	695149
33	211715
33	578605
34	608262
34	487677
35	785198
35	608135
36	429351
36	1076682
37	511751
37	1281724
38	207869
38	437988
38	103063
38	1428725
38	325430
38	67861
38	817481
38	482218
38	1580379
38	934565
38	1504268
38	1524509
38	532811
38	1548208
38	1082467
38	389910
38	72152
38	1439181
38	676123
38	463021
38	737656
38	811489
38	341094
38	1475698
38	1572534
38	773501
39	1098905
39	1012509
40	1461218
40	326013
41	1350454
41	210305
42	189105
42	1216092
43	561659
43	860643
44	484703
44	10888
45	1123972
45	435010
46	430229
46	209705
47	358751
47	1277220
48	463922
48	987439
49	1581553
49	463923
50	393184
50	941820
51	1642695
51	583121
52	4729
52	396801
53	1469940
53	43469
54	1680631
54	342727
55	429841
55	1477691
55	915222
56	165611
56	1074846
57	816319
57	459877
58	566443
58	1180165
59	1263301
59	1449498
60	1242802
60	900781
61	710950
61	1598739
61	1675664
62	392581
62	1555593
63	146313
63	166106
64	146312
64	1304166
64	902723
65	619702
65	810777
66	326779
66	1670060
67	7216
67	203899
68	286019
68	283889
69	914673
69	1466039
70	698625
70	1506027
71	520172
71	1269321
72	737947
72	1423826
73	907805
73	1348631
74	892061
74	1162095
75	1137582
75	1178546
76	1377761
76	232747
77	885935
77	1160012
77	1408210
77	1521857
77	800304
77	1279401
77	271143
77	1564530
78	115843
78	936342
78	819999
79	502910
79	524782
79	1013565
80	114787
80	463658
80	303116
80	1330334
80	1536070
80	165712
80	1460968
81	811778
81	1080078
82	49770
82	632606
83	526636
83	1396016
84	1563853
84	1233089
85	529084
85	530716
85	114785
85	1100859
85	1471069
85	1290781
85	1682458
85	1094872
86	1197739
86	134126
87	1152794
87	111220
88	1545183
88	585655
89	170258
89	1390184
90	880765
90	715449
91	544549
91	744675
92	308079
92	1177852
93	606657
93	837551
94	622625
94	420312
95	1463116
95	687169
96	1484491
96	1132293
97	1227297
97	1461702
98	444833
98	586834
99	1509895
99	1564492
100	392800
100	223013
101	326594
101	1100313
102	443025
102	634920
102	408993
103	827964
103	1007462
104	1024414
104	615539
105	600930
105	1411929
106	1162146
106	378869
106	751749
107	150623
107	815919
108	905422
108	1600494
108	1007872
108	1369581
109	1011479
109	165504
109	1507739
109	669322
109	1511225
110	25178
110	444559
111	146305
111	686147
112	2514
112	221669
112	920572
113	1378134
113	711385
114	489278
114	317251
115	1286268
115	146404
116	1251736
116	1559678
117	936871
117	1559020
118	715892
118	674346
119	603378
119	102883
119	1230237
120	1487821
120	18892
121	513076
121	525840
122	1689774
122	1359155
123	1639575
123	1690963
124	1480505
124	534188
125	1431318
125	146457
126	528119
126	1476994
127	112062
127	1200146
128	768187
128	433062
129	1675773
129	882252
130	837039
130	1414427
130	657618
131	303213
131	1368035
132	1460974
132	940600
133	1535719
133	325669
134	442602
134	325912
135	1367916
135	174113
136	1421188
136	1688663
136	398194
137	991449
137	177879
137	709883
138	780597
138	1218301
139	209896
139	567016
140	1556161
140	671919
141	667076
141	1177137
142	1475465
142	1164766
142	379900
142	80068
142	886818
142	664420
142	1590399
142	1485715
142	557348
142	1016352
143	259295
143	945012
144	705325
144	389056
145	1204174
145	16400
146	1370237
146	928424
147	1490366
147	69696
147	1414302
147	1357981
148	1401641
148	1405011
149	13673
149	702985
150	1418081
150	980758
151	1260678
151	556989
152	474856
152	888776
153	409901
153	1561418
154	468688
154	74433
154	1179711
154	90875
154	667833
154	870385
155	183954
155	1083019
156	1603744
156	1605916
157	1083370
157	1358599
158	783103
158	1414766
158	155
159	1234337
159	1539495
160	339440
160	128627
161	885668
161	1211465
162	853033
162	280881
162	6180
162	805527
162	295245
163	1410235
163	200570
164	556734
164	316827
165	1373823
165	220388
166	134139
166	1450069
167	1289544
